songartist,nn
PINK FLOYD,1
PINK FLOYD,1
PINK FLOYD,2
PINK FLOYD,2
PINK FLOYD,1
PINK FLOYD,1
PINK MARTINI,2
PINO DANIELE,1
PLANET FUNK,1
POLO & PAN,1
POOLSIDE,2
PORTUGAL. THE MAN,1
POST MALONE,8
POST MALONE,11
PUENTES, DANIT, NICK BARBACHANO,1
PULP,1
PURPLE DISCO MACHINE, DUKE DUMONT, NOTHING BUT THIEVES,1
QUEEN,1
QUEEN,1
QUINZE & BOB SINCLAR,3
R.I.O. & MADCON,1
RADIOHEAD,1
RADIOHEAD,1
RADIOHEAD,1
RAF,1
RAHILL,2
RAMONES,1
RANDY CRAWFORD,1
RANDY CRAWFORD,1
RAY CHARLES,1
RAY CHARLES,1
RAY CHARLES,3
RED HOT CHILI PEPPERS,2
RENATO ZERO,1
RENATO ZERO,2
RENZO ARBORE,1
RETTORE,1
RICCARDO COCCIANTE,1
RICCARDO COCCIANTE,1
RICHARD SANDERSON,2
RINO GAETANO,1
RINO GAETANO,1
RITA ORA,1
RITON & NIGHTCRAWLERS,1
ROBIN S,1
ROD STEWART,1
RODRIGUEZ,1
ROO PANES,1
ROSA LINN,3
ROSALÍA,9
ROY ORBISON,1
RYAN PARIS,1
SAM COOKE,1
SAM SMITH,2
SAM SMITH, CALVIN HARRIS, JESSIE REYEZ,5
SAMUELE BERSANI,1
SANTANA,2
SAY SHE SHE,3
SELENA GOMEZ,2
SERGIO CAPUTO,1
SERGIO ENDRIGO,1
SERGIO ENDRIGO,1
SERGIO MENDES & BRASIL '66,1
SHEILA CHANDRA,1
SHOCKING BLUE,1
SIDEKICK,1
SIMON & GARFUNKEL,2
SIMON & GARFUNKEL,1
SIMPLY RED,1
SIMPLY RED,1
SNATAM KAUR,3
SNOW PATROL,1
SOLOMON BURKE,1
SONNY BOY WILLIAMSON,1
SOPHIE AND THE GIANTS, MEARSY,10
SPILLER,1
STAN GETZ & JOÃO GILBERTO,1
STATUS QUO,2
STEALERS WHEEL,1
STEFANO ROSSO,3
SUD SOUND SYSTEM,2
SUPERGRASS,1
SURF MESA,1
SURVIVOR,3
SZA,3
SZA,2
TAKE THAT,2
TAKE THAT,1
TAME IMPALA,2
TANANAI,4
TATE MCRAE,3
TAYLOR SWIFT,5
TAYLOR SWIFT,1
TAYLOR SWIFT,2
TEDDY SWIMS,3
THE ALAN PARSONS PROJECT,2
THE AVENER,1
THE BEATLES,1
THE BEATLES,1
THE BEATLES,6
THE BEATLES,3
THE BEATLES,1
THE BLACK KEYS,3
THE BLAZE,2
THE BLESSED MADONNA,2
THE BLESSED MADONNA,4
THE CARS,1
THE CLASH,1
THE COMMODORES,1
THE DANDY WARHOLS,1
THE DOOBIE BROTHERS,2
THE DOORS,2
THE FRATELLIS,1
THE OFFSPRING,2
THE PRODIGY,1
THE ROLLING STONES,4
THE ROLLING STONES,2
THE ROLLING STONES,1
THE ROLLING STONES,3
THE ROLLING STONES,2
THE ROLLING STONES,1
THE ROLLING STONES,2
THE SMITHS,2
THE TRAMMPS,1
THE VACCINES,1
THE VERVE,1
THE VERVE,1
THIRTY SECONDS TO MARS,6
THIRTY SECONDS TO MARS,4
TI.PI.CAL.,1
TIËSTO & MOSKA,1
TIMORIA,1
TIROMANCINO,3
TIROMANCINO, ENULA,4
TIZIANO FERRO,3
TIZIANO FERRO,2
TOMMASO PARADISO,1
TOMMASO PARADISO,4
TONINO CAROTONE,1
TOTO,1
TR3NACRIA & STEREOKILLA,2
TR3NACRIA & STEREOKILLA,3
TRACY CHAPMAN,1
TRINIX & FAFÁ DE BELÉM,2
TROPICO,2
TROPICO,5
TROYE SIVAN,2
TROYE SIVAN,1
TRUSS ROD,2
TUNNELVISIONS,2
TYLA,4
TYLA X TRAVIS SCOTT,1
U2,4
U2,1
U2,3
UMBERTO TOZZI,2
URGE OVERKILL,1
VAN HALEN,1
VANESSA DA MATA,1
VASCO ROSSI,4
VASCO ROSSI,2
VASCO ROSSI,2
VASCO ROSSI,1
VASCO ROSSI,2
VASCO ROSSI,1
VASCO ROSSI,2
VASCO ROSSI,1
VASCO ROSSI,1
VELVET,1
VENERUS,3
VILLAGE PEOPLE,1
VILLAGERS,1
VINICIO CAPOSSELA,1
VINICIO CAPOSSELA,1
VINICIO CAPOSSELA,1
VIOLA VALENTINO,2
WHITNEY HOUSTON,1
WILDCHILD,1
WILL.I.AM,1
WUKI,1
WYCLEF JEAN,1
WYCLEF JEAN,1
XAVIER RUDD,1
YUKSEK, VOYOU & PÀULA,1
YUNGBLUD,2
YUSUF / CAT STEVENS,1
YUSUF / CAT STEVENS,1
YVONNE ELLIMAN,1
ZAKES BANTWINI, KASANGO & CLAPTONE,2
ZEF E MARZ, ELISA, LA RAPPRESENTANTE DI LISTA,2
ZUCCHERO,2
ZUCCHERO,1
ZUCCHERO,3
