songartist;songtitle;nn;anno
KALI UCHIS;Moonlight;1;2023
KASABIAN;Goodbye Kiss;1;2023
KELIS;Caught Out There;1;2023
KENNY LOGGINS;Footloose;2;2023
KENYA GRACE;Strangers;6;2023
KHRUANGBIN & LEON BRIDGES;Texas Sun;1;2023
KING HARVEST;Dancing In the Moonlight;1;2023
KINGS OF CONVENIENCE;I Don't Know What I Can Save You From (Röyksopp Remix);2;2023
KISS;I Was Made For Lovin' You;1;2023
KITTY, DAISY & LEWIS;Going Up the Country;2;2023
LA BOUCHE;Be My Lover;1;2023
LADY GAGA;Bloody Mary;1;2023
LAUFEY;From The Start;3;2023
LAURA PAUSINI;UN BUON INIZIO;1;2023
LAURIE DARMON;Laisse moi t'aimer (Radio Edit);1;2023
LAZZA;CENERE;2;2023
LED ZEPPELIN;Immigrant Song;1;2023
LED ZEPPELIN;Whole Lotta Love;2;2023
LENNY KRAVITZ;TK421;7;2023
LEONA LEWIS;Bleeding love;1;2023
LEVANTE;Vivo;2;2023
LEWIS CAPALDI;Wish You The Best;2;2023
LIBIANCA;People;1;2023
LIGABUE;Certe Notti;1;2023
LIGABUE;Riderai;2;2023
LIGABUE;Una canzone senza tempo;1;2023
LIL NAS X;STAR WALKIN' (League of Legends Worlds Anthem);4;2023
LINUS;Accetta Il Consiglio... Per Questa Volta;1;2023
LITFIBA;Spirito;2;2023
LITTLE TONY;Riderà;2;2023
LIZZO;About Damn Time;1;2023
LIZZO;Special;7;2023
LOGIC;Highlife;2;2023
LOREDANA BERTÈ;Il mare d'inverno;1;2023
LOREDANA BERTÈ;In Alto Mare;1;2023
LOREDANA BERTÈ;Non Sono Una Signora;1;2023
LORETTA GOGGI;Maledetta Primavera;1;2023
LOU RAWLS;You'll Never Find Another Love Like Mine;1;2023
LOU REED;Perfect Day;1;2023
LOU REED;Walk On The Wild Side;1;2023
LOUIS PRIMA;Buona Sera;1;2023
LOUIS PRIMA;Just A Gigolo I Ain't Got Nobody;1;2023
LP;Golden;3;2023
LU COLOMBO;Maracaibo;3;2023
LUCA CARBONI;Fragole buone buone;2;2023
LUCIO BATTISTI;L'Aquila;2;2023
LUCIO BATTISTI;Sì, viaggiare;1;2023
LUCIO BATTISTI;Un'avventura;1;2023
LUCIO DALLA;Cara;1;2023
LUCIO DALLA;Caruso;1;2023
LUCIO DALLA;Futura;1;2023
LUCIO DALLA;L'anno che verrà;1;2023
LUCIO DALLA;Quale Allegria;2;2023
LUCIO DALLA & FRANCESCO DE GREGORI;Cosa Sarà;1;2023
LUIGI TENCO;Lontano lontano;1;2023
LÙNAPOP;50 Special;2;2023
LUSAINT;Dream Life;3;2023
LUSAINT;Fool For You;3;2023
LUUDE & ISSEY CROSS;Oh My (feat. Moby);1;2023
LUUDE & ISSEY CROSS;Oh My (feat. Moby) (Extended Mix);1;2023
MACHINE GUN KELLY;fake love don't last (feat. iann dior);2;2023
MACKLEMORE;NO BAD DAYS (feat. Collett);7;2023
MADAME;Il bene nel male;5;2023
MAE STEPHENS;If We Ever Broke Up;2;2023
MANIC STREET PREACHERS;If You Tolerate This Your Children Will Be Next;1;2023
MANU CHAO;Desaparecido;3;2023
MANUEL AGNELLI;Lo Sposo Sulla Torta;3;2023
MARCELLA BELLA;Nell'aria;1;2023
MARCO MENGONI;Due vite;3;2023
MARCO MENGONI, ELODIE;Pazza Musica;2;2023
MARIA ANTONIETTA;Arrivederci;1;2023
MARIA MENA;Home For Christmas;1;2023
MAROON 5;Middle Ground;1;2023
MAROON 5;Moves Like Jagger (feat. Christina Aguilera);1;2023
MARRACASH;IMPORTANTE;4;2023
MARSHMELLO;Happier (feat. Bastille);1;2023
MARVIN GAYE;I Heard It Through the Grapevine;1;2023
MARVIN GAYE;Sexual Healing;1;2023
MARVIN GAYE;What's Going On;1;2023
MASEGO;What You Wanna Try;1;2023
MATIA BAZAR;Per Un'ora D'amore;1;2023
MAX GAZZÈ;Che c'è di male;2;2023
MAX GAZZÈ;La vita com'è;2;2023
MAYRA ANDRADE;We Used to Call It Love (Radio Edit);1;2023
MAZZY STAR;Fade Into You;1;2023
MEGHAN TRAINOR;Made You Look;3;2023
MEIKO KAJI;The Flower Of Carnage;1;2023
MIA MARTINI & ROBERTO MUROLO;Cu' mme;2;2023
MICHAEL BUBLÉ;It's Beginning To Look a Lot Like Christmas;1;2023
MICHAEL GRAY;The Weekend (Radio Edit);1;2023
MICHAEL JACKSON;Billie Jean;1;2023
MICHAEL JACKSON;Don't Stop 'Til You Get Enough;1;2023
MIKE OLDFIELD;Moonlight Shadow;1;2023
MILEY CYRUS;Flowers;11;2023
MILEY CYRUS;Jaded;4;2023
MINA;Città vuota;1;2023
MINA;L'importante è finire;1;2023
MINA;Mi Sei Scoppiato Dentro Il Cuore;1;2023
MINA;Se telefonando;1;2023
MISSY ELLIOTT;Work It (Respect M.E.);1;2023
MITSKI;My Love Mine All Mine;4;2023
MOBY;Porcelain;1;2023
MOLOKO;Sing It Back (Boris Dlugosch Mix);1;2023
MORCHEEBA;Blindfold;1;2023
